sourcedb|sourcedb_version|method|labnr|c14age|c14std|c13val|site|sitetype|feature|period|culture|material|species|country|lat|lon|shortref|comment
Kotula/Piezonka/Terberger 2015|2015|C14|AAR-15045|4938|26|-30,36|Friesack 4|Siedlung|Grabung 1983, Trench Z, Sq. E5, neol. Layer|Neolithikum|TBK?|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|TBK/shallow bowl rim sherd with repair hole
Kotula/Piezonka/Terberger 2015|2015|C14|AAR-15047|5640|26|-32,56|Friesack 4|Siedlung|Grabung 1988, Trench D, G5, neol. Layer „3“|Mesolithikum|Mesolithikum|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|Lampenscherbe
Kotula/Piezonka/Terberger 2015|2015|C14|AAR-15043|5619|23|-29,37|Friesack 4|Siedlung|Grabung 1989, Trench D, Sq. G6, layer 3-4|Neolithikum|TBK|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|TBK-Randscherbe
Kotula/Piezonka/Terberger 2015|2015|C14|AAR-18760|5737|30|-29,73|Friesack 4|Siedlung|Grabung 1989, Trench D, Sq. G5, layer 4|Mesolithikum|Mesolithikum|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|Lampenscherbe
Kotula/Piezonka/Terberger 2015|2015|C14|AAR-18756|4272|28|-28,04|Rhinow 30||Grabung 1994, Sq. A3, layer 1|Neolithikum||Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|ArchivNr: 1995:375/17_2-12, Wandscherbe mit ovalen Abdrücken
Kotula/Piezonka/Terberger 2015|2015|C14|AAR-18757|5250|30|-28,95|Rhinow 30||Grabung 1994, Sq. B6, layer 1|Mesolithikum|Friesack-Boberg|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|ArchivNr: 1995:375/21_2-36, Wandscherbe mit Fingernagelabdrücken
Kotula/Piezonka/Terberger 2015|2015|C14|AAR-18758|5138|36|-28,83|Rhinow 30||Grabung 1994, Sq. D2, layer 1|Mesolithikum|Friesack-Boberg|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|ArchivNr: 1995:375/94_2-131, Randscherbe mit Fingernagelabdrücken
Kotula/Piezonka/Terberger 2015|2015|C14|AAR-18759|5412|37|-29,76|Rhinow 30||Grabung 1994, Sq. A12, layer 1 ?|Neolithikum|frühe TBK|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|ArchivNr: 1995:375/61_2-82, TABK-Randscherbe mit zylindrischen Abdrücken
Kotula/Piezonka/Terberger 2015|2015|C14|UtC-8112|5170|60||Parow 4|||Neolithikum|TBK|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|
Kotula/Piezonka/Terberger 2015|2015|C14|UtC-8109|5158|43||Parow 4|||Neolithikum|TBK|Speisekruste||Germany|||Kotula/Piezonka/Terberger 2015|
