"";"LFD";"KREIS";"GEMEINDE";"Fpl.Nr";"FUNDPLATZU";"HOCH";"RECHTS";"FUNDPLATZN";"Fundart";"FID";"KULTUR";"KAT_NR";"BUNDESLAND";"QUELLE";"FST";"MATERIALUF";"BEMERKUNG";"FPL_Nr";"FUNDPLATZ_";"adm1_code";"wikipedia";"type";"region";"adm0_label";"admin";"gn_id";"region_sub";"wikidataid";"name_de";"name_pl";"LAND";"FLUR";"BESCHREIBU";"MESSTISCHB";"M__NN";"WASSERBEZU";"ALTKREIS";"ENTDECKUNG";"PUBLIKATIO";"ART";"GENAU_AUF";"GRABUNG_TA";"WKT";"layer";"path";"ertrag_bez";"ertrag_kur";"NAME_HAUPT";"NAME_UNTER";"X";"Y"
"21";21;"Potsdam-Mittelmark";"Glindow";"4";"4";"5804165.93809214";"355640.86931734";15426;"HH";"2021";"LBK Dechsel";15426;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Glindow 4";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (355640.86931734 5804165.93809214)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN";"Lehniner Land";355640,87;5804165,94
"22";22;"Uckermark";"Gruenow bei Schoenermark";"15";"15";"5886643.44514739";"437602.54967258";502;"FV";"2022";"LBK Dechsel";502;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Gruenow bei Schoener";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"unbek.";NA;"Grab?";NA;NA;"Point (437602.54967258 5886643.44514739)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Randowniederung";437602,55;5886643,45
"23";23;"Uckermark";"Gramzow";"7";"7";"5897285.18914733";"437430.73194591";16957;"EE";"2023";"LBK Dechsel";16957;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Gramzow 7";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (437430.73194591 5897285.18914733)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";437430,73;5897285,19
"24";24;"Uckermark";"Gramzow";"29";"29";"5895306.00639453";"435051.66267273";30947;"EE";"2024";"LBK Dechsel";30947;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Gramzow 29";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (435051.66267273 5895306.00639453)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";435051,66;5895306,01
"25";25;"Teltow-Fläming";"Kallinchen";"7";"7";"5785930.13747133";"401214.03713732";24312;"EE";"2025";"LBK Dechsel";24312;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Kallinchen 7";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (401214.03713732 5785930.13747133)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen vorherrschend <30";"n";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Dahme Seengebiet";401214,04;5785930,14
"26";26;"Uckermark";"Luetzlow";"13";"13";"5899734.24633008";"433957.14778699";17285;"EE";"2026";"LBK Dechsel";17285;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Luetzlow 13";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (433957.14778699 5899734.24633008)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen vorherrschend >50";"r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";433957,15;5899734,25
"27";27;"Uckermark";"Lemmersdorf";"15";"15";"5923891.8021993";"413197.71005346";50679;"EE";"2027";"LBK Dechsel";50679;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Lemmersdorf 15";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (413197.71005346 5923891.8021993)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend >50 und verbreitet 30 - 50";"g/r";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";413197,71;5923891,8
"28";28;"Uckermark";"Melzow";"16";"16";"5893586.76225755";"428674.19591537";17331;"HH";"2028";"LBK Dechsel";17331;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Melzow 16";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (428674.19591537 5893586.76225755)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend <30 und verbreitet 30 - 50";"g/n";"RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE";"Uckermärkisches Hügelland";428674,2;5893586,76
"29";29;"Uckermark";"Mescherin";"8";"8";"5899963.85855876";"461661.06650772";29406;"EE";"2029";"LBK Dechsel";29406;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Mescherin 8";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (461661.06650772 5899963.85855876)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet >50";"r/g";"ODERTAL";"Untere Odertalniederung";461661,07;5899963,86
"30";30;"Brandenburg (Havel)";"Neuendorf";"4";"4";"5807878.94325318";"329480.6103596";2606;"EE";"2030";"LBK Dechsel";2606;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Neuendorf 4";"nein";"Angabe übernommen von MIW 2021, Verortung vom BLDAM";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (329480.6103596 5807878.94325318)";"LBK-Dechseleinzelfunde_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Dechseleinzelfunde_MIW.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"ELBTALNIEDERUNG";"Untere Havelniederung";329480,61;5807878,94
