"";"LFD";"KREIS";"GEMEINDE";"Fpl.Nr";"FUNDPLATZU";"HOCH";"RECHTS";"FUNDPLATZN";"Fundart";"FID";"KULTUR";"KAT_NR";"BUNDESLAND";"QUELLE";"FST";"MATERIALUF";"BEMERKUNG";"FPL_Nr";"FUNDPLATZ_";"adm1_code";"wikipedia";"type";"region";"adm0_label";"admin";"gn_id";"region_sub";"wikidataid";"name_de";"name_pl";"LAND";"FLUR";"BESCHREIBU";"MESSTISCHB";"M__NN";"WASSERBEZU";"ALTKREIS";"ENTDECKUNG";"PUBLIKATIO";"ART";"GENAU_AUF";"GRABUNG_TA";"WKT";"layer";"path";"ertrag_bez";"ertrag_kur";"NAME_HAUPT";"NAME_UNTER";"X";"Y"
"385";NA;"Oder-Spree";"unbek.";NA;NA;NA;NA;NA;NA;"5342";"GG";2342;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2342";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (470509.6675 5785647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend <30";"n";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Berlin Fürstenwalder Spreetalniederung";470509,67;5785647,67
"386";NA;"Potsdam-Mittelmark";"unbek.";NA;NA;NA;NA;NA;NA;"5382";"GG";2382;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2382";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (320509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend <30 und verbreitet 30 - 50";"g/n";"FLÄMING";"Zentraler Fläming";320509,67;5775647,67
"387";NA;"Potsdam-Mittelmark";"unbek.";NA;NA;NA;NA;NA;NA;"5383";"GG";2383;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2383";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (330509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"FLÄMING";"Zentraler Fläming";330509,67;5775647,67
"388";NA;"Potsdam-Mittelmark";"unbek.";NA;NA;NA;NA;NA;NA;"5384";"GG";2384;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2384";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (340509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"FLÄMING";"Belziger Vorfläming";340509,67;5775647,67
"389";NA;"Potsdam-Mittelmark";"unbek.";NA;NA;NA;NA;NA;NA;"5385";"GG";2385;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2385";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (350509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"FLÄMING";"Belziger Vorfläming";350509,67;5775647,67
"390";NA;"Potsdam-Mittelmark";"unbek.";NA;NA;NA;NA;NA;NA;"5386";"GG";2386;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2386";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (360509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN";"Baruther Tal (mit Fiener Bruch)";360509,67;5775647,67
"391";NA;"Teltow-Fläming";"unbek.";NA;NA;NA;NA;NA;NA;"5387";"GG";2387;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2387";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (370509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN";"Luckenwalder Heide";370509,67;5775647,67
"392";NA;"Teltow-Fläming";"unbek.";NA;NA;NA;NA;NA;NA;"5388";"GG";2388;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2388";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (380509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN";"Luckenwalder Heide";380509,67;5775647,67
"393";NA;"Teltow-Fläming";"unbek.";NA;NA;NA;NA;NA;NA;"5389";"GG";2389;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2389";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (390509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend <30";"n";"MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN";"Luckenwalder Heide";390509,67;5775647,67
"394";NA;"Teltow-Fläming";"unbek.";NA;NA;NA;NA;NA;NA;"5390";"GG";2390;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2390";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (400509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend <30";"n";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Zossen-Teupitzer Platten- und Hügelland";400509,67;5775647,67
"395";NA;"Dahme-Spreewald";"unbek.";NA;NA;NA;NA;NA;NA;"5391";"GG";2391;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2391";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (410509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Zossen-Teupitzer Platten- und Hügelland";410509,67;5775647,67
"396";NA;"Dahme-Spreewald";"unbek.";NA;NA;NA;NA;NA;NA;"5392";"GG";2392;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2392";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (420509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend <30";"n";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Dahme Seengebiet";420509,67;5775647,67
"397";NA;"Dahme-Spreewald";"unbek.";NA;NA;NA;NA;NA;NA;"5393";"GG";2393;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2393";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (430509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend <30 und verbreitet 30 - 50";"g/n";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Leuthener Sandplatte";430509,67;5775647,67
"398";NA;"Oder-Spree";"unbek.";NA;NA;NA;NA;NA;NA;"5394";"GG";2394;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2394";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (440509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend <30";"n";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Beeskower Platte";440509,67;5775647,67
"399";NA;"Oder-Spree";"unbek.";NA;NA;NA;NA;NA;NA;"5395";"GG";2395;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2395";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (450509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Beeskower Platte";450509,67;5775647,67
"400";NA;"Oder-Spree";"unbek.";NA;NA;NA;NA;NA;NA;"5396";"GG";2396;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2396";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (460509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend <30";"n";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Lieberoser Heide und Schlaubegebiet";460509,67;5775647,67
"401";NA;"Oder-Spree";"unbek.";NA;NA;NA;NA;NA;NA;"5397";"GG";2397;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2397";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (470509.6675 5775647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend <30 und verbreitet 30 - 50";"g/n";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Gubener Land mit Diehloer Hügeln";470509,67;5775647,67
"402";NA;"Potsdam-Mittelmark";"unbek.";NA;NA;NA;NA;NA;NA;"5440";"GG";2440;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2440";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (330509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"FLÄMING";"Zentraler Fläming";330509,67;5765647,67
"403";NA;"Potsdam-Mittelmark";"unbek.";NA;NA;NA;NA;NA;NA;"5441";"GG";2441;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2441";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (340509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"FLÄMING";"Östliche Fläminghochfläche";340509,67;5765647,67
"404";NA;"Potsdam-Mittelmark";"unbek.";NA;NA;NA;NA;NA;NA;"5442";"GG";2442;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2442";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (350509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"FLÄMING";"Östliche Fläminghochfläche";350509,67;5765647,67
"405";NA;"Potsdam-Mittelmark";"unbek.";NA;NA;NA;NA;NA;NA;"5443";"GG";2443;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2443";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (360509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"FLÄMING";"Nördliches Fläming-Waldhügelland";360509,67;5765647,67
"406";NA;"Teltow-Fläming";"unbek.";NA;NA;NA;NA;NA;NA;"5444";"GG";2444;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2444";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (370509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN";"Baruther Tal (mit Fiener Bruch)";370509,67;5765647,67
"407";NA;"Teltow-Fläming";"unbek.";NA;NA;NA;NA;NA;NA;"5445";"GG";2445;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2445";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (380509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend <30";"n";"FLÄMING";"Nördliches Fläming-Waldhügelland";380509,67;5765647,67
"408";NA;"Teltow-Fläming";"unbek.";NA;NA;NA;NA;NA;NA;"5446";"GG";2446;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2446";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (390509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend <30";"n";"MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN";"Baruther Tal (mit Fiener Bruch)";390509,67;5765647,67
"409";NA;"Teltow-Fläming";"unbek.";NA;NA;NA;NA;NA;NA;"5447";"GG";2447;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2447";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (400509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN";"Baruther Tal (mit Fiener Bruch)";400509,67;5765647,67
"410";NA;"Dahme-Spreewald";"unbek.";NA;NA;NA;NA;NA;NA;"5448";"GG";2448;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2448";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (410509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend <30";"n";"MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN";"Baruther Tal (mit Fiener Bruch)";410509,67;5765647,67
"411";NA;"Dahme-Spreewald";"unbek.";NA;NA;NA;NA;NA;NA;"5449";"GG";2449;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2449";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (420509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend <30 und verbreitet 30 - 50";"g/n";"SPREEWALD";"Malxe-Spree-Niederung";420509,67;5765647,67
"412";NA;"Dahme-Spreewald";"unbek.";NA;NA;NA;NA;NA;NA;"5450";"GG";2450;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2450";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (430509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend <30";"n";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Leuthener Sandplatte";430509,67;5765647,67
"413";NA;"Dahme-Spreewald";"unbek.";NA;NA;NA;NA;NA;NA;"5451";"GG";2451;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2451";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (440509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend <30";"n";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Leuthener Sandplatte";440509,67;5765647,67
"414";NA;"Oder-Spree";"unbek.";NA;NA;NA;NA;NA;NA;"5452";"GG";2452;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2452";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (450509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Beeskower Platte";450509,67;5765647,67
"415";NA;"Oder-Spree";"unbek.";NA;NA;NA;NA;NA;NA;"5453";"GG";2453;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2453";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (460509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend <30 und verbreitet 30 - 50";"g/n";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Lieberoser Heide und Schlaubegebiet";460509,67;5765647,67
"416";NA;"Oder-Spree";"unbek.";NA;NA;NA;NA;NA;NA;"5454";"GG";2454;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2454";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (470509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Gubener Land mit Diehloer Hügeln";470509,67;5765647,67
"417";NA;"Oder-Spree";"unbek.";NA;NA;NA;NA;NA;NA;"5455";"GG";2455;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2455";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (480509.6675 5765647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend <30";"n";"OSTBRANDENBURGISCHES HEIDE UND SEENGEBIET";"Gubener Land mit Diehloer Hügeln";480509,67;5765647,67
"418";NA;"Teltow-Fläming";"unbek.";NA;NA;NA;NA;NA;NA;"5499";"GG";2499;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2499";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (360509.6675 5755647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"FLÄMING";"Südliches Fläminghügelland";360509,67;5755647,67
"419";NA;"Teltow-Fläming";"unbek.";NA;NA;NA;NA;NA;NA;"5500";"GG";2500;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2500";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (370509.6675 5755647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen vorherrschend 30 - 50";"g";"FLÄMING";"Östliche Fläminghochfläche";370509,67;5755647,67
"420";NA;"Teltow-Fläming";"unbek.";NA;NA;NA;NA;NA;NA;"5501";"GG";2501;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2501";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (380509.6675 5755647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"FLÄMING";"Östliche Fläminghochfläche";380509,67;5755647,67
"421";NA;"Teltow-Fläming";"unbek.";NA;NA;NA;NA;NA;NA;"5502";"GG";2502;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2502";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (390509.6675 5755647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";"Bodenzahlen überwiegend 30 - 50 und verbreitet <30";"n/g";"FLÄMING";"Östliche Fläminghochfläche";390509,67;5755647,67
