"";"LFD";"KREIS";"GEMEINDE";"Fpl.Nr";"FUNDPLATZU";"HOCH";"RECHTS";"FUNDPLATZN";"Fundart";"FID";"KULTUR";"KAT_NR";"BUNDESLAND";"QUELLE";"FST";"MATERIALUF";"BEMERKUNG";"FPL_Nr";"FUNDPLATZ_";"adm1_code";"wikipedia";"type";"region";"adm0_label";"admin";"gn_id";"region_sub";"wikidataid";"name_de";"name_pl";"LAND";"FLUR";"BESCHREIBU";"MESSTISCHB";"M__NN";"WASSERBEZU";"ALTKREIS";"ENTDECKUNG";"PUBLIKATIO";"ART";"GENAU_AUF";"GRABUNG_TA";"WKT";"layer";"path";"DGM";"EL.closedH";"EL.diverge";"EL.heightA";"EL.heigh_1";"EL.exposit";"EL.reliefU";"EL.relie_1";"EL.relie_2";"EL.terrain";"EL.soilMoi";"EL.slope";"Gefährdun";"Gefährd_1";"Gefährd_2";"Bodenabtra";"Bodenabt_1";"EL.Elevati";"X";"Y"
"127";77;"Uckermark";"Schenkenberg";NA;NA;"5911619.54009141";"429364.11198351";NA;"F";"3077";"LBK Siedlungen";17847;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Schenkenberg 18";NA;NA;18;"18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (429364.11198351 5911619.54009141)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";42,06;NA;7,96531;4,78111;2,6236;152,79991;6;23;NA;0,8034;9,00733;2,55328;3;3;3;12,37931;7,451;NA;429364,11;5911619,54
"128";78;"Uckermark";"Schoenermark (NWU)";NA;NA;"5910979.96516582";"413460.46776745";NA;"F";"3078";"LBK Siedlungen";17901;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Schoenermark (NWU) 2";NA;NA;2;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (413460.46776745 5910979.96516582)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";71,33;NA;-1,28387;10,61039;10,31461;92,9968;6;23;NA;0,74635;4,74146;2,60256;NA;NA;NA;NA;NA;NA;413460,47;5910979,97
"129";79;"Uckermark";"Schoenfeld bei Prenzlau";NA;NA;"5916727.46948355";"431903.15060788";NA;"F";"3079";"LBK Siedlungen";17940;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Schoenfeld bei Prenzlau 2";NA;NA;29;"29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (431903.15060788 5916727.46948355)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";44,46;NA;-1,95988;4,4077;3,777;262,2157;6;23;NA;0,80219;5,2827;4,48359;0;4;5;22,58418;20,53268;NA;431903,15;5916727,47
"130";80;"Uckermark";"Schoenwerder";NA;NA;"5915058.23807096";"422436.91991906";NA;"F";"3080";"LBK Siedlungen";17959;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Schoenwerder 10";NA;NA;10;"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (422436.91991906 5915058.23807096)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";NA;NA;-0,76787;0,57063;NA;226,45151;2;2;2;0,95491;17,29998;4,01201;0;6;5;56,7849;19,92476;NA;422436,92;5915058,24
"131";81;"Uckermark";"Schoenwerder";NA;NA;"5913406.89019183";"423240.58083343";NA;"F";"3081";"LBK Siedlungen";17962;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Schoenwerder 13";NA;NA;13;"13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (423240.58083343 5913406.89019183)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";32,54;NA;0,88614;12,60857;10,17138;125,32015;6;23;NA;0,77291;6,09989;2,57256;3;4;3;15,31329;7,25665;NA;423240,58;5913406,89
"132";82;"Uckermark";"Sternhagen";NA;NA;"5899084.6780903";"417818.59768566";NA;"F";"3082";"LBK Siedlungen";18114;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Sternhagen 17";NA;NA;17;"17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (417818.59768566 5899084.6780903)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";42,91;NA;-1,74008;2,66229;0,79349;41,08949;6;23;NA;0,85498;9,56652;4,13107;NA;NA;NA;NA;NA;NA;417818,6;5899084,68
"133";83;"Uckermark";"Strehlow";NA;NA;"5899444.48051851";"422856.58587139";NA;"F";"3083";"LBK Siedlungen";18134;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Strehlow 2";NA;NA;2;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (422856.58587139 5899444.48051851)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";25,51;NA;-6,59259;3,79863;3,62103;92,32111;6;22;NA;0,87982;11,69576;0,58351;0;1;2;4,30563;2,51153;NA;422856,59;5899444,48
"134";84;"Uckermark";"Strehlow";NA;NA;"5898709.77439096";"422864.57485426";NA;"F";"3084";"LBK Siedlungen";31891;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Strehlow 14";NA;NA;14;"14";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (422864.57485426 5898709.77439096)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";25,6;NA;0,34883;5,74237;2,63817;108,48277;6;23;NA;0,79927;9,33426;2,62661;0;4;4;17,52194;11,26356;NA;422864,57;5898709,77
"135";85;"Uckermark";"Tornow";NA;NA;"5916137.7123506";"431253.40426376";NA;"F";"3085";"LBK Siedlungen";18160;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Tornow 11";NA;NA;11;"11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (431253.40426376 5916137.7123506)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";47,37;NA;9,18423;10,76316;10,61082;199,40878;6;23;NA;0,79126;7,68109;0,80467;2;1;2;3,81617;3,78865;NA;431253,4;5916137,71
"136";86;"Uckermark";"Wartin";NA;NA;"5901413.50010261";"440929.37624379";NA;"F";"3086";"LBK Siedlungen";926;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Wartin 1";NA;NA;1;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (440929.37624379 5901413.50010261)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";14,4;NA;-2,85562;NA;NA;291,68076;2;2;2;0,92282;14,9623;0,50464;NA;NA;NA;NA;NA;NA;440929,38;5901413,5
"137";87;"Uckermark";"Weselitz";NA;NA;"5901933.38058119";"432632.70111459";NA;"F";"3087";"LBK Siedlungen";18303;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Weselitz 22";NA;NA;22;"22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (432632.70111459 5901933.38058119)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";79,37;1,75288;0,77917;2,35875;0,35965;169,40323;3;3;3;0,86111;10,42787;6,5472;0;6;6;89,33774;34,06725;NA;432632,7;5901933,38
"138";88;"Uckermark";"Zernikow";NA;NA;"5916177.8486022";"416939.13129921";NA;"F";"3088";"LBK Siedlungen";18444;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Zernikow 4";NA;NA;4;"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (416939.13129921 5916177.8486022)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";59,14;NA;1,23165;4,93513;4,82771;146,62311;6;23;NA;0,80229;8,08391;3,9108;3;4;4;29,47308;12,76052;NA;416939,13;5916177,85
"139";89;"Uckermark";"Ziemkendorf";NA;NA;"5908360.7700588";"436291.30590914";NA;"F";"3089";"LBK Siedlungen";31789;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Ziemkendorf 25";NA;NA;25;"25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (436291.30590914 5908360.7700588)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";39,4;NA;1,22887;2,87006;2,13984;68,75814;6;22;NA;0,82832;11,34073;4,77005;3;5;4;45,49401;13,13781;NA;436291,31;5908360,77
"140";90;"Uckermark";"Zollchow";NA;NA;"5901253.7579027";"422736.6531132";NA;"F";"3090";"LBK Siedlungen";18481;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Zollchow 11";NA;NA;11;"11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (422736.6531132 5901253.7579027)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";35,46;NA;-0,81479;14,06518;8,55149;64,02293;6;23;NA;0,74153;5,06617;5,77752;1;6;5;63,51102;25,88022;NA;422736,65;5901253,76
"141";91;"Uckermark";"Zollchow";NA;NA;"5901013.85750431";"422396.78653543";NA;"F";"3091";"LBK Siedlungen";18496;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Zollchow 26";NA;NA;26;"26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (422396.78653543 5901013.85750431)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";41,6;NA;-2,50897;17,27081;7,44535;60,56498;1;22;NA;0,7749;8,41777;0,86953;2;2;2;5,39566;3,19932;NA;422396,79;5901013,86
"142";92;"Uckermark";"Basedow";NA;NA;"5910270.17814966";"420137.78879964";NA;"GK";"3092";"LBK Siedlungen";16220;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Basedow 2";NA;NA;2;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (420137.78879964 5910270.17814966)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";NA;NA;-3,26593;3,6015;1,4728;235,16479;6;22;NA;0,8847;13,91939;0,87439;3;1;2;4,94316;3,18838;NA;420137,79;5910270,18
"143";93;"Uckermark";"Prenzlau";NA;NA;"5906431.66422218";"424805.88036966";NA;"GK";"3093";"LBK Siedlungen";17649;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Prenzlau 98";NA;NA;98;"98";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (424805.88036966 5906431.66422218)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";26,32;NA;4,7595;6,48385;5,97131;237,45517;6;23;NA;0,77288;8,65368;3,20451;NA;NA;NA;NA;NA;NA;424805,88;5906431,66
"144";94;"Uckermark";"Bandelow";NA;NA;"5920715.95520824";"424256.25226227";NA;"SS";"3094";"LBK Siedlungen";16200;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bandelow 4";NA;NA;4;"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (424256.25226227 5920715.95520824)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";44,89;NA;10,142;21,00508;17,29574;309,88498;1;21;NA;0,7985;12,22838;0,17018;3;1;1;1,15051;1,14652;NA;424256,25;5920715,96
"145";95;"Uckermark";"Biesenbrow";NA;NA;"5887220.24443957";"434783.68365523";NA;"SS";"3095";"LBK Siedlungen";36866;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Biesenbrow 32";NA;NA;32;"32";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (434783.68365523 5887220.24443957)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";36,12;NA;-2,15138;14,76249;6,79577;116,2298;6;23;NA;0,76922;8,84872;2,08467;1;3;4;14,16124;9,16954;NA;434783,68;5887220,24
"146";96;"Uckermark";"Bietikow";NA;NA;"5904242.47600909";"430823.44956379";NA;"SS";"3096";"LBK Siedlungen";16318;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bietikow 15";NA;NA;15;"15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (430823.44956379 5904242.47600909)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";72,94;NA;11,56169;11,47467;11,51428;180,23312;6;23;NA;0,79637;8,53802;1,14342;2;2;3;6,13713;5,14923;NA;430823,45;5904242,48
"147";97;"Uckermark";"Blankenburg";NA;NA;"5897657.13860224";"428212.42403254";NA;"SS";"3097";"LBK Siedlungen";47994;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Blankenburg 47";NA;NA;47;"47";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (428212.42403254 5897657.13860224)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";56,63;NA;9,34108;4,98753;4,9369;71,9249;6;22;NA;0,85378;11,32809;1,06996;3;1;2;4,85691;4,61478;NA;428212,42;5897657,14
"148";98;"Uckermark";"Blindow";NA;NA;"5912514.22519853";"425320.73913073";NA;"SS";"3098";"LBK Siedlungen";16352;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Blindow 3";NA;NA;3;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (425320.73913073 5912514.22519853)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";23,23;NA;4,07316;5,17488;5,18453;29,04264;6;22;NA;0,77946;10,10662;3,45442;1;4;4;20,21923;12,89825;NA;425320,74;5912514,23
"149";99;"Uckermark";"Bruchhagen";NA;NA;"5880521.96199498";"431273.0168554";NA;"SS";"3099";"LBK Siedlungen";232;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bruchhagen 6";NA;NA;6;"6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (431273.0168554 5880521.96199498)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";48,87;NA;12,91537;16,49553;13,58128;79,88634;1;23;NA;0,67777;3,51109;4,73488;5;2;2;5,47776;4,43677;NA;431273,02;5880521,96
"150";100;"Uckermark";"Bruessow";NA;NA;"5915677.81090983";"439270.19217537";NA;"SS";"3100";"LBK Siedlungen";32047;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Bruessow 74";NA;NA;74;"74";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (439270.19217537 5915677.81090983)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";56,79;NA;10,79468;9,16063;7,13776;89,80692;6;22;NA;0,81862;9,22019;0,66908;2;1;2;2,89947;2,74999;NA;439270,19;5915677,81
"151";101;"Uckermark";"Cremzow";NA;NA;"5912379.17440856";"435161.80061932";NA;"SS";"3101";"LBK Siedlungen";24873;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Cremzow 19";NA;NA;19;"19";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (435161.80061932 5912379.17440856)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";54,52;NA;-1,19758;10,90357;8,52502;257,55701;6;23;NA;0,78094;7,00361;1,93424;3;3;2;12,32107;4,91303;NA;435161,8;5912379,17
"152";102;"Uckermark";"Cremzow";NA;NA;"5912749.02995589";"434831.93652767";NA;"SS";"3102";"LBK Siedlungen";31964;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Cremzow 23";NA;NA;23;"23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (434831.93652767 5912749.02995589)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";44,7;NA;11,33675;2,80291;0,55289;31,23429;6;21;NA;0,91714;13,86874;0,42413;3;1;1;1,53375;1,49111;NA;434831,94;5912749,03
"153";103;"Uckermark";"Dargersdorf";NA;NA;"5879822.54660474";"402644.46418417";NA;"SS";"3103";"LBK Siedlungen";21927;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Dargersdorf 8";NA;NA;8;"8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (402644.46418417 5879822.54660474)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";55,47;NA;-5,46097;6,31709;6,41308;197,01164;6;22;NA;0,8501;11,89877;0,3826;5;0;0;0,59091;0,41816;NA;402644,46;5879822,55
"154";104;"Uckermark";"Dargersdorf";NA;NA;"5881740";"5402581";NA;"SS";"3104";"LBK Siedlungen";21927;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Dargersdorf 18";NA;"RECHTS-Koordinate kann nicht stimmen (Läge in Polen), HÖHE genommen und von anderem Dargersdorfer Fpl abgetragen";18;"9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (401669.7630044 5881740)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";50,19;NA;1,43982;0,23166;0,01865;331,33078;2;2;2;0,96426;17,77207;0,72237;4;2;3;8,57779;7,18911;NA;401669,76;5881740
"155";105;"Uckermark";"Falkenwalde";NA;NA;"5902703.04749528";"434991.76550586";NA;"SS";"3105";"LBK Siedlungen";16764;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Falkenwalde 39";NA;NA;39;"39";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (434991.76550586 5902703.04749528)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";66,94;NA;3,18535;8,13326;1,40894;28,25224;6;23;NA;0,82582;9,93674;1,45691;1;NA;4;NA;8,20131;NA;434991,77;5902703,05
"156";106;"Uckermark";"Falkenwalde";NA;NA;"5904122.48385371";"434591.94059838";NA;"SS";"3106";"LBK Siedlungen";16785;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Falkenwalde 60";NA;NA;60;"60";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (434591.94059838 5904122.48385371)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";65,77;NA;3,08544;7,28241;0,34188;174,58885;6;22;NA;0,87971;12,13475;0,88897;1;1;2;4,38997;3,46163;NA;434591,94;5904122,48
"157";107;"Uckermark";"Falkenwalde";NA;NA;"5903742.63944895";"434252.07252272";NA;"SS";"3107";"LBK Siedlungen";33533;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Falkenwalde 74";NA;NA;74;"74";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (434252.07252272 5903742.63944895)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";70,57;NA;4,75077;8,1884;5,0218;148,87408;6;22;NA;0,80736;9,46954;2,76413;1;3;4;14,40037;11,26727;NA;434252,07;5903742,64
"158";108;"Uckermark";"Falkenwalde";NA;NA;"5902083.29817193";"434736.86088078";NA;"SS";"3108";"LBK Siedlungen";37908;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Falkenwalde 88";NA;NA;88;"88";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (434736.86088078 5902083.29817193)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";78,49;NA;-1,42553;14,58929;9,37199;137,72743;1;23;NA;0,73363;5,03656;3,27438;1;4;4;20,79386;12,25793;NA;434736,86;5902083,3
"159";109;"Uckermark";"Felchow";NA;NA;"5877967.87807323";"441194.02009799";NA;"SS";"3109";"LBK Siedlungen";343;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Felchow 1";NA;NA;1;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (441194.02009799 5877967.87807323)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";49,39;NA;1,55209;8,00275;7,81864;234,32066;6;23;NA;0,75571;6,13784;2,25368;5;1;1;1,42848;1,27592;NA;441194,02;5877967,88
"160";110;"Uckermark";"Flemsdorf";NA;NA;"5876018.6231059";"444462.69144391";NA;"SS";"3110";"LBK Siedlungen";25583;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Flemsdorf 6";NA;NA;6;"6/1 (6)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (444462.69144391 5876018.6231059)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";43,14;5,3313;-4,87127;2,28314;1,48289;296,87515;3;22;NA;0,89259;12,86972;0,87333;NA;NA;NA;NA;NA;NA;444462,69;5876018,62
"161";111;"Uckermark";"Klinkow";NA;NA;"5909140.60816943";"422196.95296631";NA;"SS";"3111";"LBK Siedlungen";17193;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Klinkow 30";NA;NA;30;"30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (422196.95296631 5909140.60816943)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";21,96;NA;0,72007;4,54719;2,60933;128,79413;6;22;NA;0,82239;13,87219;4,12246;3;5;4;43,2313;12,64974;NA;422196,95;5909140,61
"162";112;"Uckermark";"Klinkow";NA;NA;"5909000.66649838";"421977.03945906";NA;"SS";"3112";"LBK Siedlungen";17195;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Klinkow 32";NA;NA;32;"32";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (421977.03945906 5909000.66649838)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";27,92;NA;1,37497;10,24055;7,1283;128,36632;6;23;NA;0,7623;6,80164;4,50686;3;5;4;36,14376;14,10377;NA;421977,04;5909000,67
"163";113;"Uckermark";"Klockow";NA;NA;"5915977.74727754";"433982.3108343";NA;"SS";"3113";"LBK Siedlungen";17201;"Brandenburg";"© Denkmaldaten / BLDAM 2021";"Klockow 1";NA;NA;1;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (433982.3108343 5915977.74727754)";"LBK-Siedll_MIW";"/media/sophie/Volume/Nextcloud/NEO/Daten/GeoDaten/fst_shps/LBK-Siedll_MIW.shp";50,48;NA;-1,33323;4,16872;1,13515;132,31955;6;22;NA;0,88018;11,77956;1,93989;2;3;3;11,45472;6,59772;NA;433982,31;5915977,75
