"";"LFD";"KREIS";"GEMEINDE";"Fpl.Nr";"FUNDPLATZU";"HOCH";"RECHTS";"FUNDPLATZN";"Fundart";"FID";"KULTUR";"KAT_NR";"BUNDESLAND";"QUELLE";"FST";"MATERIALUF";"BEMERKUNG";"FPL_Nr";"FUNDPLATZ_";"adm1_code";"wikipedia";"type";"region";"adm0_label";"admin";"gn_id";"region_sub";"wikidataid";"name_de";"name_pl";"LAND";"FLUR";"BESCHREIBU";"MESSTISCHB";"M__NN";"WASSERBEZU";"ALTKREIS";"ENTDECKUNG";"PUBLIKATIO";"ART";"GENAU_AUF";"GRABUNG_TA";"WKT";"layer";"path";"DGM";"EL.closedH";"EL.diverge";"EL.heightA";"EL.heigh_1";"EL.exposit";"EL.reliefU";"EL.relie_1";"EL.relie_2";"EL.terrain";"EL.soilMoi";"EL.slope";"Gefährdun";"Gefährd_1";"Gefährd_2";"Bodenabtra";"Bodenabt_1";"EL.Elevati";"X";"Y"
"435";NA;"Oberspreewald-Lausitz";"unbek.";NA;NA;NA;NA;NA;NA;"5562";"GG";2562;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2562";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (430509.6675 5745647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";50,65;0,32264;-2,05468;0,02571;0,01477;226,49606;5;2;2;0,98636;21,98403;0,38395;NA;NA;NA;NA;NA;NA;430509,67;5745647,67
"436";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5563";"GG";2563;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2563";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (440509.6675 5745647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";53,12;NA;-11,56;0,20759;0,20734;316,37888;2;2;2;0,9549;16,45313;0,57378;0;1;1;3,59201;2,42255;NA;440509,67;5745647,67
"437";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5564";"GG";2564;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2564";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (450509.6675 5745647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";57,26;NA;-39,54652;0,15751;0,15363;16,55731;2;2;2;0,98589;22,00761;0,59271;1;1;2;3,47242;2,8725;NA;450509,67;5745647,67
"438";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5565";"GG";2565;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2565";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (460509.6675 5745647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";60,09;1,27346;-5,25852;NA;NA;244,75705;5;2;2;0,98006;19,679;0,41344;3;1;1;1,03309;0,59109;NA;460509,67;5745647,67
"439";NA;"Spree-Neiße";"unbek.";NA;NA;NA;NA;NA;NA;"5566";"GG";2566;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2566";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (470509.6675 5745647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";74,8;NA;0,2524;2,40903;0,01035;236,13715;6;21;NA;0,93181;14,68397;0,55235;NA;NA;NA;NA;NA;NA;470509,67;5745647,67
"440";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5612";"GG";2612;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2612";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (380509.6675 5735647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";83,16;NA;-5,48633;0,01879;NA;219,56711;2;2;2;0,97438;18,75604;0,52528;1;4;4;20,05828;11,77262;NA;380509,67;5735647,67
"441";NA;"Elbe-Elster";"unbek.";NA;NA;NA;NA;NA;NA;"5613";"GG";2613;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2613";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (390509.6675 5735647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";132,03999;NA;1,42807;8,75991;6,41547;46,77006;6;23;NA;0,79104;6,1768;2,35532;NA;NA;NA;NA;NA;NA;390509,67;5735647,67
"442";NA;"Dahme-Spreewald";"unbek.";NA;NA;NA;NA;NA;NA;"5614";"GG";2614;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2614";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (400509.6675 5735647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";118,46;NA;2,51445;6,11217;5,90276;199,06238;6;23;NA;0,77011;7,24588;4,01564;NA;NA;NA;NA;NA;NA;400509,67;5735647,67
"443";NA;"Dahme-Spreewald";"unbek.";NA;NA;NA;NA;NA;NA;"5615";"GG";2615;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2615";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (410509.6675 5735647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";76,92;NA;-10,90451;3,56586;2,54237;245,61206;6;21;NA;0,9137;15,08948;0,25195;5;0;0;0,32643;0,27359;NA;410509,67;5735647,67
"444";NA;"Oberspreewald-Lausitz";"unbek.";NA;NA;NA;NA;NA;NA;"5616";"GG";2616;"Brandenburg";"Rasterpunkt QGIS";"Zufallspunkt 2616";NA;"Punkt im 10x10km Raster übers Arbeitsgebiet";NA;NA;"DEU-3487";NA;"Land";NA;2;"Germany";2945356;NA;"Q1208";"Brandenburg";"Brandenburgia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Point (420509.6675 5735647.6654)";"sampling_punkte_bb";"/media/sophie/Volume/R/Diss/analysis/data/geodata/sampling_punkte_bb.shp";74,44;NA;3,01171;2,07868;2,07975;17,48194;6;21;NA;0,88864;13,72284;2,96821;NA;NA;NA;NA;NA;NA;420509,67;5735647,67
