,KREIS,GEMEINDE,FUNDPLATZN,Fundart,FID,BUNDESLAND,QUELLE,FST,MATERIALUF,BEMERKUNG,kultur2,NAME_HAUPT,NAME_UNTER,X,Y,quelle_georef,QID_quelle_georef,katalognr,fst_id,fst_name,gemeinde,kreis,bundesland,land,perio.do,kultur,entdeckung,QID_entdeckung,publikation_arch,QID_publikation,fundstellenart,QID_fundstellenart,genauigkeit_m,methode,quellen_typ,methodenbeschr,wgs84_x,wgs84_y,dating_start,dating_certainty_start,dating_end,dating_certainty_end,dating_method,dating_certainty_range,dating_perio.do,dating_perio.do_match
45,Uckermark,Strehlow,18141,EE,2045,Brandenburg,© Denkmaldaten / BLDAM 2021,Strehlow 9,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"13,84","53,22",© Denkmaldaten / BLDAM 2021,Q897952,18141,,Strehlow 9,Strehlow,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","13,84","53,22",-5160,+/- 100 Jahre,-4860,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
46,Uckermark,Tornow,18150,EE,2046,Brandenburg,© Denkmaldaten / BLDAM 2021,Tornow 1,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"13,96","53,4",© Denkmaldaten / BLDAM 2021,Q897952,18150,,Tornow 1,Tornow,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","13,96","53,4",-5159,+/- 100 Jahre,-4859,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
47,Uckermark,Trampe,18175,EE,2047,Brandenburg,© Denkmaldaten / BLDAM 2021,Trampe 3,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"14,09","53,37",© Denkmaldaten / BLDAM 2021,Q897952,18175,,Trampe 3,Trampe,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","14,09","53,37",-5158,+/- 100 Jahre,-4858,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
48,Uckermark,Wallmow,18208,EE,2048,Brandenburg,© Denkmaldaten / BLDAM 2021,Wallmow 1,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"14,09","53,37",© Denkmaldaten / BLDAM 2021,Q897952,18208,,Wallmow 1,Wallmow,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","14,09","53,37",-5157,+/- 100 Jahre,-4857,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
49,Uckermark,Warnitz,18236,EE,2049,Brandenburg,© Denkmaldaten / BLDAM 2021,Warnitz 17,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,RÜCKLAND DER MECKLENBURGISCHEN SEENPLATTE,Uckermärkisches Hügelland,"13,87","53,18",© Denkmaldaten / BLDAM 2021,Q897952,18236,,Warnitz 17,Warnitz,Uckermark,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","13,87","53,18",-5156,+/- 100 Jahre,-4856,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
50,Elbe-Elster,Wiederau,8483,EE,2050,Brandenburg,© Denkmaldaten / BLDAM 2021,Wiederau 1,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Dechsel,ELBE-MULDE-TIEFLAND,Elbe-Elster Tiefland,"13,32","51,62",© Denkmaldaten / BLDAM 2021,Q897952,8483,,Wiederau 1,Wiederau,Elbe-Elster,Brandenburg,Deutschland,,LBK Dechsel,Einzelfund,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","13,32","51,62",-5155,+/- 100 Jahre,-4855,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
51,Frankfurt (Oder),Frankfurt,,SS,3001,Brandenburg,© Denkmaldaten / BLDAM 2021,Frankfurt 33,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Siedl.,OSTBRANDENBURGISCHE PLATTE,Lebusplatte,"14,5","52,36",© Denkmaldaten / BLDAM 2021,Q897952,,,Frankfurt 33,Frankfurt,Frankfurt (Oder),Brandenburg,Deutschland,,LBK Siedl.,Ausgrabung,,Ismail-Weber 2017,,Siedlung,Q486972,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","14,5","52,36",-5154,+/- 100 Jahre,-4854,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
52,Havelland,Nauen,,F,3002,Brandenburg,© Denkmaldaten / BLDAM 2021,Nauen 21,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Siedl.,LUCHLAND,"Unteres,Oberes Rhinluch und Havelländisches Luch","12,88","52,62",© Denkmaldaten / BLDAM 2021,Q897952,,,Nauen 21,Nauen,Havelland,Brandenburg,Deutschland,,LBK Siedl.,Lesefunde,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","12,88","52,62",-5153,+/- 100 Jahre,-4853,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
53,Havelland,Rathenow,,F,3003,Brandenburg,© Denkmaldaten / BLDAM 2021,Rathenow 36,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Siedl.,ELBTALNIEDERUNG,Untere Havelniederung,"12,34","52,58",© Denkmaldaten / BLDAM 2021,Q897952,,,Rathenow 36,Rathenow,Havelland,Brandenburg,Deutschland,,LBK Siedl.,Lesefunde,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","12,34","52,58",-5152,+/- 100 Jahre,-4852,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
54,Havelland,Wachow,,F,3004,Brandenburg,© Denkmaldaten / BLDAM 2021,Wachow 5,nein,"Angabe übernommen von MIW 2021, Verortung vom BLDAM",LBK Siedl.,MITTELBRANDENBURGISCHE PLATTEN UND NIEDERUNGEN,Nauener Platte,"12,76","52,53",© Denkmaldaten / BLDAM 2021,Q897952,,,Wachow 5,Wachow,Havelland,Brandenburg,Deutschland,,LBK Siedl.,Lesefunde,,Ismail-Weber 2017,,,,,Übernahme aus externer Datenbank,Strukturen des Landesdenkmalamts,"die Koordinaten wurden von Kollegin übernommen, die die Daten vom BLDAM angefragt hatte","12,76","52,53",-5151,+/- 100 Jahre,-4851,+/-100 Jahre,Q816829,"low precision, as only stylistic dating",http://n2t.net/ark:/99152/p0wctqtmksk,relatedMatch
